TRANSCRIPTION,EMOTION
" Hey, how you doing?",sad
 I'm sorry.,sad
" I know- I know there's nothing I can say that will really help, but--",sad
 I'm sorry.  It's never easy.,sad
" But, I'm here if there's anything you need.  I mean, you just have to ask.  I know --",sad
 --it doesn't really do anything.  But--,sad
 I know.  It never is.,sad
" How's, um -- how's his parents doing?",sad
" I mean, what do you want to do?  Do you want to- do you want to talk about it?  Do you-",sad
" Well I know it's not a lot of help or anything, but at least you got to know him.  I mean, at least you had the time with him that you did.",sad
" I mean, we can be grateful for that.",sad
 You feel that way now because you're upset.  But you don't really think that.,sad
" It'll get better.  I know it doesn't help, but it will get better and you will remember all of the good things that you guys had; all of the memories that you have with him that were happy and you'll be grateful for those.",sad
" Just life, in general?",xxx
" I agree.  If I knew how to make that happen, I would certainly help you.",sad
" When's the service? Can- can we help?  Is there anything, I mean--",sad
" Seems like if the whole world's sad, then it's okay for you to be.",sad
 I know.,sad
" I don't have any magic answers.  But,",sad
" I mean, as- as cliche as it is, as long as people who loved him remember him, then it's not a waste, you know.",sad
 Thanks.,sad
" I know.  I just -- I don't know.  It's just weird because you have somebody who's, you know,",sad
 a major part of your life and then they're gone.  And I don't know.  That's not really -- it's never really happened to me before.,sad
 Yeah.,sad
 Thanks.,sad
 I just -- it's just not fair.,sad
" I mean, they're, you know, they're upset.  It's like you know, they",sad
 feel the same way everybody else does.,sad
" [BREATHING] I mean, there's nothing really to talk about.  He's gone and I'll never see him again.",sad
 Yeah.,sad
" Yeah, I don't know.  Sometimes I wish I didn't know him.  So I wouldn't--",sad
 This is just -- this is a terrible life.  I just don't understand.,sad
" I mean, it's just not fair.  Like, I don't know.  Why people -",sad
" there should just be some sort of rule that people don't die until they're older, 'cause then, at least, it's expected.",sad
 I don't know what to do.,sad
" I mean, you- you can go.  I don't know.  I don't know what else.",sad
 I hope it rains.  Somehow that'll make me feel more comfortable.,sad
 Yeah.,sad
 I just wish there was some way to just bring him back to life magically.,sad
" Just, you know, some thing; some genie. I need to find a genie bottle.",sad
 I know.,sad
" What, no way.",sur
 Really?,sur
 I didn't even,exc
 know you applied to U.S.C..,exc
" That's amazing.  I've seen it on TV. Um, Wow.  I mean, well what are you going to major in?  What are you going to do?",exc
 Wow.,xxx
 Right.,exc
 Yes.,exc
 Is U.S.C. known for its history program?,exc
 I know.  It's a great school and you know,exc
 It's all about the connections,exc
" Oh, you did not just say that.",hap
 I know.  You're going to be so close.,exc
 I'm glad you did.,exc
" That's great.  I mean, I'm really glad you're not going to go anywhere.  You'll still be here.",exc
 Everything in LA is twenty minutes away.,exc
 Give or take. [LAUGHTER],exc
 Well congratulations.,exc
 Yeah.,exc
" Yeah, and then you got that whole communal shower thing which is really appealing.",xxx
" Okay. Well, that's a good plan. Shower shoes. Two thumbs up.",xxx
 Wow. I- I was looking at U.C.L.A.,xxx
" But, congrats on the U.S.C. thing.",exc
" The -- what, the- I mean--",neu
" You're not going to -- you're going to go to games, though, right? I mean, you can't go to U.S.C. and not go to a football game.",xxx
" Just one game, though?  I mean, for the experience.  I mean, you don't have to go to all of the games but you gotta go to a game.",xxx
" Okay.  Well that's cool, too, but like--",neu
" Wow, you are a winner and a half. [LAUGHTER]",exc
 I don't know. Women's volleyball.,xxx
 Basically anything women do.,xxx
 You have to go to a football game.  Come on.,xxx
" Paint some red and yellow S C on your face. And like get one of those big you know, number one hand things.",xxx
 Maybe one of those megaphones. Pompom.,xxx
" There are cheerleaders at football games.  That's girls, scantily clad sexy girls.",xxx
 I know.,xxx
 I'm just -- I'm watching your back.,xxx
 Excuse me?,neu
 No.,neu
 Well just don't go south of campus.  Don't get a gun. That's stupid. I mean-,xxx
 Why don't you take kung fu?,xxx
" Alright, so you're not going to believe this.  But I went home today. I looked through the mail.  And I got an acceptance letter from U.S.C..",exc
 I'm going to U.S.C.. Yeah.,exc
" Yeah, yeah.",exc
" I did.  I did. I've -- yeah, I applied to U.S.C..  I mean, it's really expensive but",exc
 it's a really good school.  So,exc
" Um, um- yeah, I'm just -- I'm really excited 'cause I don't know.  It's like a whole -- I mean, it's just like, I've been really -- I wanted to go there ever since I was a kid.  So now I actually am and it's awesome.  It's a really nice campus.  Oh, you've been there.",xxx
" Um, I'm thinking a history and geology minor.",xxx
" Yeah.  I like to know about history, 'cause, you know, it's- it's just so relevant to the present.",hap
 Yeah.,hap
" And, uh-",hap
" Um, you know, I don't think so.  But I think that, you know, it's still a private school",hap
" and right you know it's still- and then, you know, I mean-",hap
" I'm guessing, you know it's like I I checked it out.  And, like, they have a decent history program.",hap
" So -- and like the geology just is awesome.  It rocks, no pun intended. [LAUGHTER]",hap
" Um, but, uh- anyway -- yeah, so that's awesome, though, because you live here and then we're not going to be separated by me going to some other school",exc
" And, uh, it's just really exciting.  I- You know, I'm -- just I want to- I want to share this special happy moment with you. It's awesome",exc
 So um,xxx
" Yeah, yeah, yeah.  We're only going to be like twenty minutes apart.",xxx
" Exactly. It's more like twenty five. Twenty five, half an hour,",xxx
" But, uh, yeah, so I'm really excited. I can't wait- can't wait to go.  I have to go to orientation,",xxx
" umm, and I'm going to check out school and get, you know, check out the courses",exc
 find out all this stuff.  And- and I don't know.  I think I'm going to try to live in a dorm.,exc
" 'Cause, you know, it's like you get to know a lot of people in the dorms and.",xxx
 Well I'll have flip flops for that.  That's not  some- It's not a problem.,xxx
" Yeah, yeah.  But um, so, yeah.  So it's pretty sweet, huh?  You should go there, too.",xxx
" Ouch.  That's, um -- oh, wow.",neu
" No, no, I mean, I didn't know -- I didn't know that about you. Um, I feel like --",neu
" No, I'm just messing with you. I mean, I'm not going to, you know, I mean, I'm not even really a football fan anyway.  So or- or a basketball-",xxx
 No. Football's boring.,xxx
 I'll go to basketball games.,neu
 Maybe some golf matches.,neu
 Do they even have any golf matches? I don't even know.,xxx
 I don't know.  Do they have golf?  Do they have- Does U.S.C. have a -- I don't know if they have a golf team.,neu
" That I'll go to.  Definitely go to women's volleyball.  Women's volleyball, swimming, tennis.",xxx
" And then men's basketball.  And -- oh, well not women's basketball.",xxx
" No, I'm not going to go to a football game.",neu
 Forget it. Forget it. Forget it. No way.,neu
 I do -- I will need to get a gun-,neu
 You've got a point there.,xxx
 I'll take that in consideration.  Alright.,xxx
" Okay.  Um, but, no, I, uh, I do need to get a gun soon, though, 'cause I mean",neu
 I need to get like a -- just a small little gun just 'cause -- or like a taser or something or just like a butterfly knife,neu
" 'cause, you know, I mean, it's like If I ever want to go south of campus",neu
 Well I need to defend myself from,neu
 Hi.  I've been on the phone for an hour trying to get a little discrepancy on my bill fixed.  I was charged for two hundred dollars worth of calls that I didn't make.,fru
 I'm positive.  They came from like another state.,fru
" Uh. Yeah, I just gave it to the automated thing like five times.",fru
 Okay.  three two three six nine seven five zero six six.  Can we move on?,fru
" Okay, cool.",xxx
 Yes.,xxx
" Yes, and I've been through all of the menus, pushed one and star and pound and all of that stuff and I'm just trying to get through to a person who can",fru
" take off the charges that came from like Nebraska or wherever because, obviously, I didn't make those.",fru
 So can you please refund the mischarged charges,fru
 I did not make the calls from B.F.E. Nebraska.,fru
 So could you discretion it back?,fru
" Okay, but that's like half",fru
 of the money that I was charged that I didn't make those calls.,fru
" Okay, no, look, I- I- I- I'm really -- I'm trying to be patient.  I know this isn't your fault.  I know that you didn't do it",fru
" but, at the same time, I have been through an hour of little robot voices telling me what I needed to do.",fru
 And I did everything they said.  And now i'm talking to you and you're supposed to put the money back on my account because I didn't make the calls and I'm really tired of dealing with this because I didn't even,xxx
 Excuse me?,fru
 How long does that take?,fru
 I have to wait a few weeks for people come go through my things to get the money back that I didn't spend?,fru
 Really?,sur
 You're just going to put it back on my account.,neu
 So you're just going to take care of this for me?,sur
" Oh, my God, thank you so much.",hap
" I really appreciate this. I know it's not policy or whatever but, seriously",hap
 make my life a lot easier.,hap
 Really?,sur
" Right. Um, Thanks for asking, though. I mean, you sound nice, you know.",xxx
 I'll,neu
" call up the Sprint call center and, uh, you know. cool",neu
" Wow, alright. Well, thanks. And, uh, you- you have a good one.",xxx
 You too.,neu
 Thank you for calling Sprint.  We care about everybody.  How can I help you?,fru
 Are you sure you didn't make them?,neu
" Can I get your phone number, please?",fru
 I'm going to need it again.  I need to look at your file.  If you want me to look at your file--,fru
 Okay.,neu
" Umm, Miss Aruckman",neu
 I am seeing the two hundred dollar charge.,neu
 Well I'm looking at these.,fru
 So you're saying that you didn't make these calls.,neu
" Well I mean, I'm supposed to use discretion in the situation and, um--",fru
 All I can do for you right now is give you a hundred dollars.,neu
 What I can,neu
 What I can do for you is give you a hundred dollars right now and fill out complaint form,neu
 which you- which you'll have to go into a local Verizon dealer--  or Sprint.,neu
" Ma'am, I understand that.",fru
" Ma'am, I - I - I understand that. I understand that. What I can do for you right now is what I'm telling you is that I can do- I can give you a hundred dollars back and then you'll have to fill out a complaint form and then you'll get -- there'll be some investigation. Some men will show up at your house and go through your things.",fru
 And then then you'll get some money back.,fru
 A few weeks.  You won't even know that they were there.,neu
" Okay.  You know what?  I just don't feel like doing this anymore.  Um, you can have all the money back, two hundred dollar, right now.",fru
" Yeah.  That's fine.  I just -- that's fine. Yeah, I mean, it doesn't make any difference to me.  I mean, it's not like it's going to cost my job or anything.",neu
" I mean, technically, that's policy.  But, like, I mean, I don't really care about -- nobody really cares about policy here.",neu
 Sure.,neu
 You're welcome.,neu
" No, no, no, it's cool.  It's cool.  It's cool.  So, um",neu
" You know, so- I mean, are you doing anything later?  Or um",neu
" Oh, I don't know.  I mean, I don't know.  I just thought, you know, maybe you want to get some co--I mean, I'm actually -- wait, where do you live?  Oh, you're in Los Angeles, I see.  Oh, no, that sucks 'cause I'm in, actually in Alabama.",neu
" God, that's like a whole problem with like-- But, no, I mean, hey-- if you ever",neu
" if you ever come out to Montgomery, I mean, you know, just -- just call up, you know, call up the operator and I'll-- I'll be here. So, um.",neu
 Alright. Take Care.,neu
 What's he going to say?  Maybe we ought to tell him before he sees it.,neu
 How could he see it?  I was the first one up.  He was still in bed.,xxx
 When?,sur
 What was he doing out here at four in the morning?,xxx
 Did you talk to him?,xxx
 He cried hard?,xxx
 What was he doing out here at that hour?  He's dreaming about him again.  He's walking around at night.,xxx
 He's getting just like after he died.  What's the meaning in that?,sad
 What?,sur
" What do you mean, dishonest?",fru
 What do you want to do?  Argue with him?,fru
 You can't say that to him.,ang
 How are you going to prove it?  Can you prove it?,ang
" To you it is and to me, but not to him.  You can talk yourself blue in the face, but there's no body and no grave, so where are you?",ang
" The trouble is the Goddamn newspapers.  Every month some boy turns up from nowhere, so the next boy is going to be Larry.  So we have to keep--",xxx
 Why?,neu
" Well I've got an idea, but what's the story?",xxx
" Well that's only your business, Chris.",neu
 What do you want me to do?  You're old enough to know your own mind.,ang
 Well you want to make sure your father isn't going to have --,neu
 I'm just saying.,fru
 I ignore what I got to ignore.  The girl is Larry's girl.,ang
" From father's point of view, he's not dead.  And you have no right to take his girl.",ang
" Now you can go on from there if you know where to go. But I'm telling you I don't know where to go.  See, I don't know.",fru
 Now what can I do for you?,fru
 You're a considerate fellow.  There's nothing wrong in that.,xxx
 Did you ask Annie yet?,xxx
 How do you know she'll marry you?  Maybe she feels the same way father does.,neu
" The trouble is, you don't see enough women.  You never did.",neu
 I don't see why it has to be Annie.,ang
" Well that's a good answer, but it don't answer anything.  He thinks he's coming back, Chris.  You marry that girl, you're pronouncing him dead.  Now what happens to your father?  Do you know?  Because I don't.",xxx
" Alright, then, mom.",fru
 Yes we did. Do you want to keep going?,neu
 Just give it some more thought.,neu
 What the hell is this?,ang
 Are you crazy?,ang
 You've got a business here.  What the hell is this?,ang
 Must you be inspired?,ang
 You mean -- tell me something.  You mean you'd really leave the business?,xxx
 You don't want to think like that.,ang
" Alright.  But just don't think like that because what the hell did we work for?  That's all for you, Chris.  The whole shooting match is just for you.",ang
" But don't think that way, you hear me?",ang
" I don't understand you, do I?",xxx
" Yeah, I can see that.",xxx
 He saw it.,neu
 He was out here when it broke.,neu
 About four this morning.  I heard it cracking and I woke up and looked out.  He was standing right there when it cracked.,xxx
" I don't know.  After it cracked, he ran back in the house and cried in the kitchen.",xxx
 No.  I - I figured the best thing was to leave him alone.,xxx
 I heard him right through the floor of my room.,xxx
 I guess he is.,xxx
" I don't know the meaning of it, mom.  But I know one thing; we made a terrible mistake with dad.",fru
 Being dishonest with him.  That kind of thing always pays off and now it's paying off.,xxx
 You know that Larry's not coming back.  And I know it.  Why do we allow him to go on thinking that we believe with him?,xxx
 I don't want to argue with him but it's time he realized that nobody believes Larry's alive anymore.,fru
 Why shouldn't he dream of him?  Walk the nights waiting for him.,xxx
" Do we contradict him?  Do we say straight out that we have no hope anymore?  That we haven't had any hope for years, now.",xxx
 We've gotta say it to him.,ang
" For God's sake, three years.  Nobody comes back after three years.  It's insane.",ang
" Sit down, mom.  I want to talk to you.",xxx
" Alright, alright, alright.  Listen.  You know why I asked Annie here don't you?",fru
 You know why.,fru
 Going to ask her to marry me.,neu
 You know it's not only my business.,fru
 Then it's alright.  I'll go ahead with it?,xxx
" Well, then you know it's not only my business.",ang
" Sometimes you infuriate me, you know that?  Isn't it your business, too, if I tell this to father and he throws a fit about it?  You have such a talent for ignoring things.",ang
 She's not Larry's girl.,fru
" I don't know why it is but every time I reach out for something I want, I have to pull back because other people will suffer.  My whole bloody life, time after time after time.",fru
 To hell with that.,fru
 I wanted to get this settled first.,neu
" Well if she does, then that's the end of it.  From her letters, I think she's forgotten him.  We'll find out.  Then we'll thrash it out with dad. Right, mom?  Don't avoid me.",xxx
 So what?  I'm not fast with women.,xxx
 Because it is.,fru
 Line?,fru
" Alright, then, mom.  Did we skip something?  No.  Alright, then, mom.",neu
" Yeah, let's keep going.",neu
 I've given it three years' of thought.  I'd hope that if,fru
" father forgot about Larry, we'd have a regular wedding and everything happy.  If I can't get that here, then I'll have to get out.",sad
 I'll get out.  I'll get married and live someplace else.  Maybe New York.,xxx
 I've been a good son too long; a good sucker.  I'm through with it.,fru
 The business?  The business doesn't inspire me.,ang
" Yes.  I like getting an hour a day.  If I have to grub for money all day long, at least at evening, I want it beautiful.",ang
 I want a family.  I want some kids.  I want to build something I can give myself to.  Annie's in the middle of that.  Now where do I find it?,xxx
" Yes, on this I would.",neu
 Then you help me stay here.,neu
 I know that.  Just you help me stay here.,fru
 I am thinking that way.,xxx
" No, you don't.  I'm a pretty tough guy.",fru
 Why did he invite her here?,ang
 Why does that bother you?,neu
" She's been in New York three and a half years.  Why, all of a sudden--",ang
 Nobody comes seven hundred miles just to see.,ang
 He's not going to marry her.,ang
 It's got that about it.,ang
" What's going on here, Joe?",ang
" Now listen, kid. Now, listen.",neu
" She's not his girl, Joe.  She knows she's not.",ang
" Then why is she still single?  New York is full of men.  Why hasn't she married?  Probably a hundred people told her she's foolish, but she's waited.",ang
" Because she knows what I know, that's why.  She's faithful as a rock.  In my worst moments, I think of her waiting and I know, again, that I'm right.",ang
" Nobody in this house dares take her faith away, Joe.  Strangers might, but not his father, not his brother.",ang
" I want you to act like he's coming back, both of you.  Don't think I haven't noticed you since he invited her here.  I won't stand for any nonsense.",ang
" Because if he's not coming back, I'll kill myself.",ang
 Laugh.  Laugh at me.  But why did that happen the very night that she came here?,ang
 She goes to sleep in his bed and his memorial breaks in pieces.  Look.  Look at it.  Joe--,ang
" Believe with me, Joe.  I can't stand all alone",ang
" Only last week, a man turned up in Detroit missing longer than Larry.",xxx
" You, above all, have got to believe.  You.",ang
 Just don't stop believing.,xxx
 I can't help it.,sad
" Oh, God, line.",neu
" Why does- why, does that bother you?",xxx
" Well, maybe- maybe he just wanted to see her.",xxx
 What do you mean?  He grew up next door to the girl all his life.  Why shouldn't he want to -- why shouldn't he want to see her again?,fru
 Don't look at me like that.  He didn't tell me anymore than he told you.,xxx
 How do you know he's even thinking about it?,neu
 Well so what?,neu
 Line.,neu
" Oh.  Now listen, kid.",xxx
 You can't read her mind.,xxx
 How do you know why she waited?,xxx
" Look, it's a nice day.  What are we arguing for?",fru
 What do you want me to do? What do you want?,fru
" But, Kate--",fru
 Calm yourself.,fru
 Calm yourself.,fru
" Alright, alright.  Calm yourself.",fru
 Why me above all?,fru
" What does that mean, me above all?  Look at you.  You're shaking.",xxx
" What have I got to hide?  What the hell is the matter with you, Kate?",ang
 You're the only one I know who loves his parents.,xxx
" It's okay.  It's a good thing.  You know, it's lovely here and the air is sweet.",xxx
" No, not sorry, but I'm not going to stay.",xxx
" In the first place, your mother as much as told me to go.",xxx
 You saw that and then you've been kind of--,xxx
" Well, kind of embarrassed ever since I got here.",xxx
" I knew they would, your mother, anyway.",xxx
" From her point of view, why else would I come?",xxx
 I guess this is why I came.,xxx
" Chris, I've been ready a long, long time.",xxx
 I almost got married two years ago.,xxx
 You started to write me.,xxx
 Every day since.,hap
" I was waiting for you, Chris.  'Til then, you never wrote and when you did, what did you say?  You sure can be ambiguous, you know.",hap
 I'll never forgive you.  Why did you wait all these years?  All I've done is sit around and wonder if I was crazy for thinking of you.,hap
 Not like that you're not.,xxx
" Like Larry's brother.  Do it like you, Chris.  What is it, Chris?",xxx
" No, what is it, Chris?  Your mother?",xxx
" Then what's wrong.  Even in your letters, there was something ashamed.",xxx
 You've got to tell me.,xxx
 It wouldn't work this way.,xxx
" Yeah, sure.",xxx
 How many?,sad
" Oh, gees.",sad
 And do you still feel that way?,xxx
" Because you mustn't feel that way anymore, Chris.  Because you have a right to everything you have, everything, Chris; to me, too.",xxx
" And your money, there's nothing wrong in your money.  Your father put hundreds of planes in the air.  You should be proud.  A man should be paid for that.",xxx
 What'll I do with a fortune?,hap
" I know.  It went out of style, didn't it?",xxx
 So you're not sorry you came?,xxx
 Why?,xxx
 What?,xxx
 The trouble is I planned on sneaking up on you over a period of a week or so.  But they take it for granted that we're all set.,xxx
 How did you know?,xxx
 Well wouldn't you want to?,xxx
 I guess you know this is why I asked you to come.,xxx
" Ann, I love you.  I love you a great deal.  I love you.",xxx
 I have no imagination.  That's all I know to tell you.  I'm embarrassing you.,xxx
 I didn't want to tell it to you here.  I wanted someplace we'd never been; someplace where we'd be brand new to each other.,xxx
" You think this is wrong, don't you; this yard, this chair?  I want you to be ready for me.  I don't want to win you away from anything.",xxx
 Then he's gone forever?  You're sure?,xxx
 Why didn't you?,xxx
 You felt something that far back?,xxx
" Anne, why didn't you let me know?",xxx
" Anne, give me a kiss.  Give me a -",xxx
" I kissed you.  I kissed Annie.  How long, how long I've waited to kiss you.",xxx
" Anne, we're going to live now.  I'm going to make you so happy.",xxx
 I kissed you.,xxx
 Let's drive somewhere.  I want to be alone with you.,xxx
" No, no, nothing like that.",xxx
" Yes, I suppose there has been.  But it's going from me.",sad
 I don't know where to start.,sad
" It's all mixed up with so many other things.  You remember overseas, I was in command of a company?",sad
 Well I lost them.,sad
 Just about all.,sad
 It takes a little time to toss that off because they weren't just men.,sad
" For instance, one time it'd been raining several days.  And this kid came to me and gave me his last pair of dry socks; put them in my pocket.  That's only a little thing, but that's the kind of guys I had.",sad
 They didn't die.  They killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.,xxx
" And I got this idea watching them go down, everything was being destroyed, see?  But, to me, it seemed there was one new thing that was made,",sad
 a kind of responsibility.  Man for man.  You understand me?  And then I went home and it was incredible.,sad
" There was no meaning in it here.  The whole thing to them was some sort of bus accident.  Then I went to work for dad and that whole rat race again.  I felt, what you said, ashamed somehow",sad
 because nobody was changed.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive;,sad
" to open that bank book; to drive the new car; to see the new refrigerator.  I mean, you can take these things out of a war, but when you drive the new car, you have to know that it came out of the love a man can have for a man.",sad
" You have to be a little better because of that.  Otherwise, we have is really loot and there's blood on it.  I don't want to take any of it.  I guess that included you.",sad
" I want you now, Annie.",xxx
" Annie, Annie, I'm going to make you a fortune.",hap
 Fine.,neu
 What flashlight?,xxx
 It's not yours.,ang
" It's ours.  It's mine, too.",ang
 You kept saying my flashlight as if it's somehow just yours.  How is that supposed to make me feel?,ang
 Yes.,ang
 I'm cold.,xxx
 It's after eleven; let's go home.,ang
 There is no point in coming down here.,ang
 That's my point.,fru
 So let's go home.,ang
 Not particularly.,fru
 I just don't.  It's stupid.,ang
" Pass up what?  These little fish swim onto the beach, flop around and then they swim away.  And then they die.",ang
 What are you so excited about?,neu
 This isn't a moon landing we're talking about.  It's fish.  It's fish nobody even eats.,fru
 I'm just not.,fru
 Yes.,ang
" Last year, you will also remember, our shoes got wet.  I got sand in my panties.  We got into a big fight over nothing.  You got a sore throat and we did not see the grunions.",ang
 We didn't see them the first time either.,fru
 That's the wind.,fru
 About what?,fru
" What time is it?  They're supposed to run around midnight.  This is great, isn't it?  Look at this night we've got here; couldn't be better.",xxx
" Actually, I wanted to go a little farther up the coast, get away from the lights and the people, but I was afraid we'd miss it.  How you doing?",exc
" Is that, is that - is that just foam?  I can't even tell.  Although, if you can't tell, it's probably isn't them.  It'll probably be unmistakable, don't you think?",exc
" How you doing?  Oh, no, you know what I did?  I forgot to bring my flashlight.  How could I be so stupid?  I should have brought my flashlight.",exc
" The flashlight; the silver one.  There's only one, isn't there?",xxx
 Whose is it?,neu
" Well, sure.",fru
" No, of course, our flashlight; yours and mine.  Me flashlight es su flashlight, naturally.  How could we not think to bring it?  I hope the moon stays out.",xxx
" I wonder, do they always run during a full moon? I can't remember if it was full last year.  Remember?",exc
" Are you cold?  Do you want my jacket?  We should have brought the blanket, our blanket.",neu
" Oh, man.  This is great.  I didn't even think to bring a six pack.  Six pack would be just the ticket right about now.  I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped.  Oh.",xxx
 I wonder if they can hear me talk or feel the vibrations in the sand when we move around.,xxx
 You want my jacket?,neu
 Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home?,fru
 Right.,neu
" That's my point, too.",neu
" No, no, no.  That's not my point.  My point is is that there's no point in coming down here if we just leave.  Don't you want to see it?",fru
 Why not?,xxx
" Honey, this is a natural phenomenon.  I mean, this only happens once a year.  It's a great opportunity.  Think about the people in Kansas.  They'd have to get plane tickets and hotel reservations to come see this.  We're just forty minutes away.  It's too good to pass up.",exc
" Yeah, but that moment on the beach is the highlight of their little lives.  I mean, all that flopping around is laying eggs or what do you -- spawning or mating, something like that.",fru
 There's mystery here and magic.,exc
" Oh, it's a big night for these guys.  Uh, life's last orgy.",exc
" Yeah, they do. Okay.  But it's fish who do something none of the other fish do; like the swallows are returning to Capistrano; or the lemmings throwing themselves off the cliffs, like that.",exc
 There's mystery here and magic; a little bit of the unexplainable.  I don't see how you can not be interested.,exc
 For real?,sur
" I don't get it.  First time we came here to see it, you said it was the best night of your life.  And last year, I remember distinctly you were so excited to get here, you stubbed your toe rushing me out the door and didn't even notice until we were in the car.",xxx
 We weren't in a good spot.,xxx
 We just weren't in a good spot.  This is a much better spot.  I've got good instincts for these things.  Look there.  What's that?  Is that -,xxx
" no, it's just seaweed, isn't it?  Oh, man, this is great.  I wouldn't miss this for anything.  I mean, think about this.  I know you're not interested, but just think about this for a minute.",exc
 Out there someplace is this huge mass of silver fish heading this way.  They don't know why.  We don't know why.  It wasn't a decision.  They didn't take a vote.  No one sent them an invitation or a map;,exc
" just some little instinctual time release firecracker went off in their little bodies and all as one, they turned and formed a line as long as the California coast and started swimming.",exc
 They're swimming right now as if that's the only thing that matters.  It's single mindedness with no mind.  Urgency that's pure urge.,exc
" They don't know what drives them.  They don't give it a name or ask a question.  They just turn, as one, and start the swim that brings them here; to this place, where we stand, for a massive celebration of sex and death.  Oh, man, I'm giving myself goose bumps.  All my hairs are popping up.",exc
 Well so what did you think?,exc
" Look at this, goose bumps.",neu
 About what?,xxx
 It's ridiculous.,xxx
 It's PR.  Somebody sold you a bill of goods that this wonderful event is going to take place on the beach.,xxx
 Sure.  They're all told the same story.  It's what keeps us coming back for more; keeps us excited; keeps us thinking that life is going to start any minute now if we could just find the right spot; get in on the action.,xxx
" Well, I'm sorry, but it's still just fish to me.",xxx
" Goddamn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",ang
 We just have different ideas about what this evening is supposed to look like.,ang
" For heaven's sake, we are not going to see the grunions.",xxx
" We never do, do we?  Have we ever?",ang
 Twice is every time we've tried.  That's ever.,fru
" No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.  I feel as though my entire life is going to be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",xxx
 You don't have any idea what I'm saying.,fru
" I did want to see it.  I always do.  I keep thinking this time will be the time, but it never is.",ang
" For heaven's sake, this is not about fish.",xxx
 Do you remember the first time we came to see it?,xxx
" It was about four years ago, right after we got married.  We thought I was pregnant and we had a bottle of champagne but no glasses.  You asked me to dance.  So we took off our shoes and you popped the cork.",sad
" And while we were dancing, you said the softest, most intimate things to me, right into my ear so that I could feel them as much as hear them.  And I remember thinking this is it.  At last, at last I'm as happy as I'm supposed to be.",xxx
 Dancing barefoot in the sand; drinking champagne from the bottle.,sad
 I'd rather not remember some things.  I'd rather not hope for some things.,sad
 No.,sad
 No.,sad
 No.,fru
 No.,fru
 No.,fru
 No.,ang
 I want something to turn out the way it's supposed to.,ang
 This what?  What is this?  This isn't even anything.,ang
" Oh, right, sure.  This is standing on the beach.   This is waiting.  This is fighting.",ang
 But this isn't anything like I thought anything would be like.,ang
" This is just this.  I mean, it includes a lot and everything, but it's just not, you know, something else.  Do you have any idea what I'm trying to say?",xxx
" I know you are, Augie.  Really, I do.  I know you meant for this to be special and nice and it's the full moon and the sand and everything.  But I just couldn't help thinking about being somewhere else.",fru
 I didn't say that.,sad
" For heaven's sake, whatever I'm doing, I'd rather be doing it with you.",xxx
 Well don't be ridiculous.  Don't you know that?  You're the one who probably wishes you were with somebody else; somebody who knew how to enjoy herself and didn't take everything so hard.,xxx
" Okay, fine.  So we're in the wrong spot, but we're with the right person.",hap
" Yeah, I noticed that.  Looks pretty on the water, doesn't it?  Big ol' white moon.  I'm sorry, Augie.",hap
 Or not.,xxx
 Well so what'd you think?,neu
 What I said.,neu
 Certainly is not.  It's slightly exaggerated scientific fact.,fru
 I'm not the only one.  Look at these people.,xxx
 Are we talking about the same thing?,xxx
" Carla, can I ask you something?  Don't take this the wrong way, but are you having your period?",fru
 Well what's bugging you?,ang
" There's nothing to it.  We come down here.  The grunions arrive.  They do their little fish business.  We go ooh, ah, look at the fish.  They go home.  We go home.",ang
 Why not?,xxx
 We've missed them twice.,xxx
 That's not ever.,xxx
 We'll see them this year.,fru
 I thought you wanted to see them.,xxx
" No, of course, not.",fru
 It's just fish; nothing to get traumatized over.,fru
" I've been trying to work this backwards, but I can't seem to pinpoint the moment when we took a turn for the worse.",fru
" You were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see, I took a shower.  Uh, you watched the news.  You said the grunions are running tonight.  I said great, let's go.  I feel lucky tonight.",fru
" Uh,okay.  So I'm putting on my jacket; putting out the animals;",fru
" uh, taking the car out of the gara- out of the garage.",fru
 Uh.,fru
" Wait a minute, I've got it.",neu
" It was in the car, right?  Driving past the Knickerbocker Liquor Locker?  You said let's get some champagne and I said times a wasting or something like that.  Right?  That's it, right?  You want this to be like the other time.  That's it.  Of course.",neu
 Sure.  Okay.  Alright.  I've got it.  Listen do you want to dance?,xxx
 You want to get some champagne?,xxx
" What, you want me to breathe in your ear?",fru
 You want to get married again?,fru
" What, you want a divorce?",fru
 A vacation?,fru
" A new carpet?  A poodle?  An ice cream?  A back rub?  A suicide pact?  What?  What, Carla?  What the hell do you want?",xxx
" Well welcome to the human race.  You think this is what I had in mind?  You think that when I proposed, I had this great fantasy going that four years down the line, we'd come to the beach and yell at each other over fish?  No.",ang
